Dates;usdcop
05/03/2020;1,3411
06/03/2020;1,3418
09/03/2020;1,3702
10/03/2020;1,3727
11/03/2020;1,3779
12/03/2020;1,3925
13/03/2020;1,3806
16/03/2020;1,4016
17/03/2020;1,4202
18/03/2020;1,4504
19/03/2020;1,4511
20/03/2020;1,4366
23/03/2020;1,4494
24/03/2020;1,4462
25/03/2020;1,4191
26/03/2020;1,402
27/03/2020;1,3985
30/03/2020;1,4166
31/03/2020;1,4062
01/04/2020;1,4191
02/04/2020;1,4138
03/04/2020;1,4205
06/04/2020;1,4111
07/04/2020;1,3993
08/04/2020;1,4013
09/04/2020;1,3976
10/04/2020;1,3956
13/04/2020;1,3904
14/04/2020;1,3883
15/04/2020;1,4115
16/04/2020;1,4082
17/04/2020;1,4001
20/04/2020;1,4149
21/04/2020;1,4211
22/04/2020;1,4161
23/04/2020;1,4073
24/04/2020;1,4103
27/04/2020;1,4034
28/04/2020;1,3998
29/04/2020;1,3881
30/04/2020;1,3945
01/05/2020;1,4089
04/05/2020;1,4087
05/05/2020;1,4049
06/05/2020;1,4146
07/05/2020;1,3973
08/05/2020;1,3927
11/05/2020;1,4007
12/05/2020;1,4078
13/05/2020;1,4101
14/05/2020;1,405
15/05/2020;1,4109
18/05/2020;1,3937
19/05/2020;1,3944
20/05/2020;1,3901
21/05/2020;1,3955
22/05/2020;1,3996
25/05/2020;1,3985
26/05/2020;1,3777
27/05/2020;1,3752
28/05/2020;1,3763
29/05/2020;1,378
01/06/2020;1,3573
02/06/2020;1,3519
03/06/2020;1,3495
04/06/2020;1,35
05/06/2020;1,3422
08/06/2020;1,3382
09/06/2020;1,3417
10/06/2020;1,3412
11/06/2020;1,3629
12/06/2020;1,3589
15/06/2020;1,3572
16/06/2020;1,3541
17/06/2020;1,3565
18/06/2020;1,36
19/06/2020;1,3607
22/06/2020;1,3522
23/06/2020;1,355
24/06/2020;1,3638
25/06/2020;1,3638
26/06/2020;1,3688
29/06/2020;1,3659
30/06/2020;1,3576
01/07/2020;1,3587
02/07/2020;1,3564
03/07/2020;1,3547
06/07/2020;1,3539
07/07/2020;1,3603
